0x00	screen_bathroom_stall_door_open
0x01	screen_bathroom_stall_door_closed
0x02	screen_mens_bathroom_door_closed
0x03	screen_mens_bathroom_door_open
0x04	screen_dingy_hallway_both_doors_closed
0x05	screen_dingy_hallway_bathroom_door_closed
0x06	screen_dingy_hallway_bar_door_closed
0x07	screen_dingy_hallway_both_doors_open
0x08	screen_womens_bathroom_both_doors_closed
0x09	screen_womens_bathroom_stall_door_open
0x0A	screen_womens_bathroom_door_open
0x0B	screen_womens_bathroom_both_doors_open
0X0C	screen_womens_bathroom_stall_lid_closed
0X0D	screen_womens_bathroom_stall_lid_open
0X0E	screen_bar_1st_floor_all_doors_closed
0X0F	screen_bar_1st_floor_cellar_door_open
0x10	screen_bar_1st_floor_door_open
0x11	screen_bar_1st_floor_both_doors_open
0x12	screen_wine_cellar
0x13	screen_wine_cellar_passage_revealed
0x14	screen_small_room_secret_door_open
0x15	screen_small_room_both_doors_open
0x16	screen_small_room_both_doors_closed
0x17	screen_small_room_casino_door_open
0x18	screen_bar_casino_door_open
0x19	screen_bar_casino_door_closed
0x1A	screen_bar_1f_outside_elevator_door_closed
0x1B	screen_bar_1f_outside_elevator_door_open
0x1C	screen_bar_1f_inside_elevator_door_open
0x1D	screen_bar_3f_inside_elevator_door_closed
0x1E	screen_bar_3f_inside_elevator_door_open
0x1F	screen_bar_2f_inside_elevator_door_open
0x20	screen_bar_3f_weird_room_window_closed
0x21	screen_bar_3f_weird_room_elevator_door_open
0x22	screen_bar_3f_weird_room_window_open
0x23	screen_bar_3f_weird_room_elevator_door_and_window_open
0x24	screen_bar_3f_fire_escape_window_closed
0x25	screen_bar_3f_fire_escape_window_open
0x26	screen_bar_fire_escape_window_closed
0x27	screen_bar_fire_escape_window_open
0x28	screen_bar_office_with_dead_guy
0x29	screen_bar_office_with_dead_guy_window_open
0x2A	screen_bar_office_with_dead_guy_safe_open
0x2B	screen_bar_office_with_dead_guy_safe_and_window_open
0x2C	screen_bar_upstairs_reception_room_door_closed
0x2D	screen_bar_upstairs_reception_room_door_open
0x2E	screen_bar_upstairs_hallway_door_closed
0x2F	screen_bar_upstairs_hallway_door_open
0x30	screen_outside_bar
0x31	screen_outside_bar_car_door_open
0x32	screen_outside_bar_trunk_open
0x33	screen_outside_bar_door_open
0x34	screen_outside_bar_manhole_open
0x35	screen_outside_bar_trunk_and_car_door_open
0x36	screen_outside_bar_car_door_and_door_open
0x37	screen_outside_bar_car_door_and_manhole_open
0x38	screen_outside_bar_trunk_and_door_open
0x39	screen_outside_bar_trunk_and_manhole_open
0x3A	screen_outside_bar_door_and_manhole_open
0x3B	screen_outside_bar_car_door_trunk_and_door_open
0x3C	screen_outside_bar_car_door_trunk_and_manhole_open
0x3D	screen_outside_bar_car_door_door_and_manhole_open
0x3E	screen_outside_bar_trunk_door_and_manhole_open
0x3F	screen_outside_bar_car_door_trunk_door_and_manhole_open
0x40	screen_mugger1_outside_of_bar_1st_visit
0x41	screen_inside_car
0x42	screen_inside_car_dashboard_open
0x43	screen_looking_at_trunk
0x44	screen_looking_at_woman_in_trunk
0x45	screen_newspaper_stand
0x46	screen_mugger1_in_front_of_newspaper_stand
0x47	screen_outside_gun_shop_door_closed
0x48	screen_outside_gun_shop_door_open
0x49	screen_mugger1_in_front_of_gun_shop
0x4A	screen_inside_gun_shop
0x4B	screen_outside_blue_cab_peoria_st
0x4C	screen_mugger1_in_front_of_blue_cab
0x4D	screen_outside_yellow_cab_peoria_st
0x4E	screen_outside_police_station
0x4F	screen_outside_police_station_doors_open
0x50	screen_danger_construction_zone
0x51	screen_streets_dark_alley_manhole_closed
0x52	screen_streets_dark_alley_manhole_open
0x53	screen_streets_ugly_bum
0x54	screen_muscle_mugger
0x55	screen_meet_woman_in_red
0x56	screen_woman_in_red_unconscious
0x57	screen_woman_close-up
0x58	screen_inside_blue_cab_peoria_st
0x59	screen_inside_blue_cab
0x5A	screen_inside_yellow_cab
0x5B	screen_inside_yellow_cab
0x5C	screen_westend_outside_door_closed
0x5D	screen_westend_outside_door_open
0x60	screen_westend_lobby_door_closed
0x61	screen_westend_lobby_door_open
0x62	screen_westend_elevator_door_closed
0x63	screen_westend_elevator_door_open
0x64	screen_westend_elevator_upstairs_door_open
0x65	screen_westend_penthouse
0x66	screen_kedzie_bungalow_door_closed
