Achievement ID	Original Logic
17111	0xM07b0=1_0xN07b0=1_0xO07b0=1_0xP07b0=1_0xH07b2=0_0xL07b0!=15.200._R:0xL07b0=0
17112	0xQ07b0=1_0xR07b0=1_0xS07b0=1_0xT07b0=1_0xH07b2=0_0xU07b0!=15.200._R:0xU07b0=0
17113	0xM0007b1=1_0xN0007b1=1_0xO0007b1=1_0xP0007b1=1_0xH0007b2=0_0xL0007b1!=15.200._R:0xL0007b1=0
17114	0xM0007b8=1_0xN0007b8=1_0xO0007b8=1_0xP0007b8=1_0xH0007b2=0_0xL0007b8!=15.200._R:0xL0007b8=0
17115	0xQ0007b8=1_0xR0007b8=1_0xS0007b8=1_0xT0007b8=1_0xH0007b2=0_0xU0007b8!=15.200._R:0xU0007b8=0
17116	0xM0007b9=1_0xN0007b9=1_0xO0007b9=1_0xP0007b9=1_0xH0007b2=0_0xL0007b9!=15.200._R:0xL0007b9=0
17117	0xM0007c0=1_0xN0007c0=1_0xO0007c0=1_0xP0007c0=1_0xH0007b2=0_0xL0007c0!=15.200._R:0xL0007c0=0
17125	0xQ0007c0=1_0xR0007c0=1_0xS0007c0=1_0xT0007c0=1_0xH0007b2=0_0xU0007c0!=15.200._R:0xU0007c0=0
17126	0xM0007c1=1_0xN0007c1=1_0xO0007c1=1_0xP0007c1=1_0xH0007b2=0_0xL0007c1!=15.200._R:0xL0007c1=0
17127	0xM0007c8=1_0xN0007c8=1_0xO0007c8=1_0xP0007c8=1_0xH0007b2=0_0xL0007c8!=15.200._R:0xL0007c8=0
17128	0xQ0007c8=1_0xR0007c8=1_0xS0007c8=1_0xT0007c8=1_0xH0007b2=0_0xU0007c8!=15.200._R:0xU0007c8=0
17129	0xM0007c9=1_0xN0007c9=1_0xO0007c9=1_0xP0007c9=1_0xH0007b2=0_0xL0007c9!=15.200._R:0xL0007c9=0
17130	0xM0007d0=1_0xN0007d0=1_0xO0007d0=1_0xP0007d0=1_0xH0007b2=0_0xL0007d0!=15.200._R:0xL0007d0=0
17131	0xQ0007d0=1_0xR0007d0=1_0xS0007d0=1_0xT0007d0=1_0xH0007b2=0_0xU0007d0!=15.200._R:0xU0007d0=0
17132	0xM0007d1=1_0xN0007d1=1_0xO0007d1=1_0xP0007d1=1_0xH0007b2=0_0xL0007d1!=15.200._R:0xL0007d1=0
17133	0xM0007d8=1_0xN0007d8=1_0xO0007d8=1_0xP0007d8=1_0xH0007b2=0_0xL0007d8!=15.200._R:0xL0007d8=0
17134	A:d0xQ0007d8_A:d0xR0007d8_A:d0xS0007d8_d0xT0007d8=3_A:0xQ0007d8_A:0xR0007d8_A:0xS0007d8_0xT0007d8=4
17135	0xM0007d9=1_0xN0007d9=1_0xO0007d9=1_0xP0007d9=1_0xH0007b2=0_0xL0007d9!=15.200._R:0xL0007d9=0
17136	0xM07e0=1_0xN07e0=1_0xO07e0=1_0xP07e0=1_0xH07b2=0_0xL07e0!=15.200._R:0xL07e0=0
17137	0xQ07e0=1_0xR07e0=1_0xS07e0=1_0xT07e0=1_0xH07b2=0_0xU07e0!=15.200._R:0xU07e0=0
17138	0xM07e1=1_0xN07e1=1_0xO07e1=1_0xP07e1=1_0xH07b2=0_0xL07e1!=15.200._R:0xL07e1=0
17139	0xM07e8=1_0xN07e8=1_0xO07e8=1_0xP07e8=1_0xH07b2=0_0xL07e8!=15.200._R:0xL07e8=0
17140	0xQ07e8=1_0xR07e8=1_0xS07e8=1_0xT07e8=1_0xH07b2=0_0xU07e8!=15.200._R:0xU07e8=0
17141	0xM07e9=1_0xN07e9=1_0xO07e9=1_0xP07e9=1_0xH07b2=0_0xL07e9!=15.200._R:0xL07e9=0
17142	0xM0007f0=1_0xN0007f0=1_0xO0007f0=1_0xP0007f0=1_0xH0007b2=0_0xL0007f0!=15.200._R:0xL0007f0=0
17143	0xQ0007f0=1_0xR0007f0=1_0xS0007f0=1_0xT0007f0=1_0xH0007b2=0_0xU0007f0!=15.200._R:0xU0007f0=0
17144	0xM0007f1=1_0xN0007f1=1_0xO0007f1=1_0xP0007f1=1_0xH0007b2=0_0xL0007f1!=15.200._R:0xL0007f1=0
17145	0xM0007f8=1_0xN0007f8=1_0xO0007f8=1_0xP0007f8=1_0xH0007b2=0_0xL0007f8!=15.200._R:0xL0007f8=0
17146	0xQ0007f8=1_0xR0007f8=1_0xS0007f8=1_0xT0007f8=1_0xH0007b2=0_0xU0007f8!=15.200._R:0xU0007f8=0
17147	0xM0007f9=1_0xN0007f9=1_0xO0007f9=1_0xP0007f9=1_0xH0007b2=0_0xL0007f9!=15.200._R:0xL0007f9=0
17148	0xM000800=1_0xN000800=1_0xO000800=1_0xP000800=1_0xH0007b2=0_0xL000800!=15.200._R:0xL000800=0
17149	0xQ000800=1_0xR000800=1_0xS000800=1_0xT000800=1_0xH0007b2=0_0xU000800!=15.200._R:0xU000800=0
17150	0xM000801=1_0xN000801=1_0xO000801=1_0xP000801=1_0xH0007b2=0_0xL000801!=15.200._R:0xL000801=0
17152	0xM07ae=1_0xN07ae=1_0xO07ae=1_0xP07ae=1_0xH07b2=0_0xL07ae!=15.200._R:0xL07ae=0
17153	0xQ0007ae=1_0xR0007ae=1_0xS0007ae=1_0xT0007ae=1_0xH0007b2=0_0xU0007ae!=15.200._R:0xU0007ae=0
17154	0xM0007af=1_0xN0007af=1_0xO0007af=1_0xP0007af=1_0xH0007b2=0_0xL0007af!=15.200._R:0xL0007af=0
17155	0xM07b6=1_0xN07b6=1_0xO07b6=1_0xP07b6=1_0xH07b2=0_0xL07b6!=15.200._R:0xL07b6=0
17156	0xQ07b6=1_0xR07b6=1_0xS07b6=1_0xT07b6=1_0xH07b2=0_0xU07b6!=15.200._R:0xU07b6=0
17157	0xM07b7=1_0xN07b7=1_0xO07b7=1_0xP07b7=1_0xH07b2=0_0xL07b7!=15.200._R:0xL07b7=0
17164	0xM07be=1_0xN07be=1_0xO07be=1_0xP07be=1_0xH07b2=0_0xL07be!=15.200._R:0xL07be=0
17165	0xQ07be=1_0xR07be=1_0xS07be=1_0xT07be=1_0xH07b2=0_0xU07be!=15.200._R:0xU07be=0
17166	0xM07bf=1_0xN07bf=1_0xO07bf=1_0xP07bf=1_0xH07b2=0_0xL07bf!=15.200._R:0xL07bf=0
17167	0xM07c6=1_0xN07c6=1_0xO07c6=1_0xP07c6=1_0xH07b2=0_0xL07c6!=15.200._R:0xL07c6=0
17168	0xQ07c6=1_0xR07c6=1_0xS07c6=1_0xT07c6=1_0xH07b2=0_0xU07c6!=15.200._R:0xU07c6=0
17169	0xM07c7=1_0xN07c7=1_0xO07c7=1_0xP07c7=1_0xH07b2=0_0xL07c7!=15.200._R:0xL07c7=0
29411	0xH07b2=0_0xL07ce=15_0xL07ce!=15.200._R:0xL07ce=0
29412	0xH07b2=0_0xU07ce=15_0xU07ce!=15.200._R:0xU07ce=0
29413	0xH07b2=0_0xL07cf=15_0xL07cf!=15.200._R:0xL07cf=0
29414	0xH07b2=0_0xL07d6=15_0xL07d6!=15.200._R:0xL07d6=0
29415	0xH07b2=0_0xU07d6=15_0xU07d6!=15.200._R:0xU07d6=0
29416	0xH07b2=0_0xL07d7=15_0xL07d7!=15.200._R:0xL07d7=0
29417	0xH0007b2=0_0xL0007de=15_0xL0007de!=15.200._R:0xL0007de=0
29418	0xH0007b2=0_d0xU0007de<15_0xU0007de=15_B:d0xK0007de_0xK0007de=1
29419	0xH0007b2=0_0xL0007df=15_0xL0007df!=15.200._R:0xL0007df=0
29420	0xH0007b2=0_0xL0007e6=15_0xL0007e6!=15.200._R:0xL0007e6=0
29421	0xH0007b2=0_0xU0007e6=15_0xU0007e6!=15.200._R:0xU0007e6=0
29422	0xH0007b2=0_0xL0007e7=15_0xL0007e7!=15.200._R:0xL0007e7=0
29423	0xH0007b2=0_0xL0007ee=15_0xL0007ee!=15.200._R:0xL0007ee=0
29424	0xH0007b2=0_0xU0007ee=15_0xU0007ee!=15.200._R:0xU0007ee=0
29425	0xH0007b2=0_0xL0007ef=15_0xL0007ef!=15.200._R:0xL0007ef=0
29426	0xH0007b2=0_0xL0007f6=15_0xL0007f6!=15.200._R:0xL0007f6=0
29427	0xH0007b2=0_0xU0007f6=15_0xU0007f6!=15.200._R:0xU0007f6=0
29428	0xH0007b2=0_0xL0007f7=15_0xL0007f7!=15.200._R:0xL0007f7=0
29429	0xH07b2=0_0xL07fe=15_0xL07fe!=15.200._R:0xL07fe=0
29430	0xH07b2=0_0xU07fe=15_0xU07fe!=15.200._R:0xU07fe=0
29431	0xH07b2=0_0xL07ff=15_0xL07ff!=15.200._R:0xL07ff=0
29432	0xH07b2=0_0xL0806=15_0xL0806!=15.200._R:0xL0806=0
29433	0xH07b2=0_0xU0806=15_0xU0806!=15.200._R:0xU0806=0
29434	0xH0007b2=0_0xL000808=15_0xL000808!=15.200._R:0xL000808=0
29435	0xH0007b2=0_0xU000808=15_0xU000808!=15.200._R:0xU000808=0
29436	0xH0007b2=0_0xL000809=15_0xL000809!=15.200._R:0xL000809=0
29437	0xH0007b2=0_0xM000810=1_0xH000810=254.200._R:0xL0007d1=0
29438	0xH0007b2=0_0xL00080e=15_0xL00080e!=15.200._R:0xL00080e=0
29439	0xH0007b2=0_0xU00080e=15_0xU00080e!=15.200._R:0xU00080e=0
29440	0xH0007b2=0_0xL00080f=15_0xL00080f!=15.200._R:0xL00080f=0
29441	0xH07b2=0_0xM0816=1_0xN0816=1_0xO0816=1_C:0xM0816=0_C:0xN0816=0_0xO0816=0.200._R:0xL0816=0_R:0xL0816=8
