01b8000	01b8001	01b8002	01b8000 (24-bit)	
00	00	00	000000	Gregminster
00	00	01	010000	Seika
00	00	02	020000	Dwarf Trail - West Entrance
00	00	03	030000	Antei
00	00	04	040000	Warrior's Village
00	00	05	050000	Dragon's Den - Entrance (West Entrance)
00	00	06	060000	Kirov (Foot/Teleport)
00	00	07	070000	Moravia - Entrance
00	00	08	080000	Village of the Hidden Rune
00	00	09	090000	Kirov (Boat)
00	00	09	090000	Shasarazade
00	00	09	090000	Shasarazade (Boat)
00	00	0b	0b0000	Gregminster - Outside (After Battle)
00	01	00	000100	Gregminster - McDohl Residence 1F
00	01	01	010100	Seika - Onil's
00	01	02	020100	Dwarf Trail - Main Path 1
00	01	03	030100	Antei - Kimberly's
00	01	04	040100	Warrior's Village - Zorak's
00	01	05	050100	Dragon's Den - Dungeon 1 (West Entrance)
00	01	06	060100	Kirov - Residence
00	01	07	070100	Moravia - 1
00	01	08	080100	Village of the Hidden Rune - West Residence
00	01	09	090100	Kirov - Residence (Boat)
00	02	00	000200	Gregminster - McDohl Residence 2F
00	02	01	010200	Seika - Item Shop
00	02	02	020200	Dwarf Trail - Main Path 2
00	02	03	030200	Antei - Armor Shop
00	02	04	040200	Warrior's Village - Armor Shop
00	02	05	050200	Dragon's Den - Dungeon 2 (West Entrance)
00	02	06	060200	Kirov - Residence
00	02	07	070200	Moravia - 2
00	02	08	080200	Village of the Hidden Rune - East Residence
00	02	09	090200	Kirov - Residence (Boat)
00	03	00	000300	Gregminster - Inn 1F
00	03	01	010300	Seika - Rune Shop
00	03	02	020300	Dwarf Trail - Treasure Area
00	03	03	030300	Antei - Rune Shop
00	03	04	040300	Warrior's Village - Inn
00	03	05	050300	Dragon's Den - Dungeon 3 (West Entrance)
00	03	06	060300	Kirov - Item Shop
00	03	07	070300	Moravia - 3
00	03	08	080300	Village of the Hidden Rune - Elder's Residence
00	03	09	090300	Kirov - Item Shop (Boat)
00	04	00	000400	Gregminster - Inn 2F
00	04	01	010400	Seika - Inn
00	04	02	020400	Dwarf Trail - Main Path 3
00	04	03	030400	Antei - Item Shop
00	04	04	040400	Warrior's Village - Residence/Blacksmith
00	04	05	050400	Dragon's Den - Dungeon 4 (West Entrance)
00	04	06	060400	Kirov - Armor Shop
00	04	07	070400	Moravia - 4
00	04	09	090400	Kirov - Armor Shop (Boat)
00	05	00	000500	Gregminster - Inn 3F
00	05	01	010500	Seika - Mathiu's
00	05	02	020500	Dwarf Trail - Main Path 4
00	05	03	030500	Antei - Tesla's
00	05	04	040500	Warrior's Village - Item Shop
00	05	05	050500	Dragon's Den - Dungeon 5 (West Entrance)
00	05	06	060500	Kirov - Inn
00	05	07	070500	Moravia - Kasim's Room
00	05	09	090500	Kirov - Inn (Boat)
00	06	00	000600	Gregminster - Item and Armor Shop
00	06	02	020600	Dwarf Trail - Main Path 5
00	06	03	030600	Antei - Inn 1F
00	06	05	050600	Dragon's Den - Dungeon 6 (West Entrance)
00	06	06	060600	Kirov - Kun To's
00	06	07	070600	Moravia - Outside 1
00	06	09	090600	Kirov - Kun To's (Boat)
00	06	0b	0b0600	Gregminster - Endgame - Armor Shop
00	07	00	000700	Gregminster - Sonya Residence
00	07	02	020700	Dwarf Trail - Main Path 6
00	07	03	030700	Antei - Inn 2F
00	07	05	050700	Dragon's Den - Dungeon 7 (West Entrance)
00	07	07	070700	Moravia - 5
00	07	0b	0b0700	Gregminster - Endgame - Residence
00	08	00	000800	Gregminster - Rune Shop
00	08	02	020800	Dwarf Trail - Main Path 7
